Data Levantamento	Km inicial	Km final	Sentido	IRI (m/Km)	Flecha (mm)	IGG	Qtd. de Panelas	Trincamento (%)	Desgaste (%)	FC1 (%)	FC2 (%)	FC3 (%)	Afundamento (%)	Escorregamento (%)	Exsudacao (%)	Remendo (%)	ICS IRI	ICS IGG	ICS	Situação
08/11/2020	34	34.1	C	5.29	2.38	53	0.0 	4.1 	16.5 	0.0 	4.1 	0.0 	0.0 	0.0 	0.0 	0.0 	2	3	2	Ruim
08/11/2020	34.1	34.2	C	3.48	1.90	96	0.0 	6.2 	16.5 	0.0 	2.1 	4.1 	0.0 	0.0 	0.0 	6.2 	3	2	2	Ruim
08/11/2020	34.2	34.3	C	3.55	4.99	141	1.0 	9.3 	6.2 	0.0 	0.0 	9.3 	0.0 	0.0 	0.0 	5.2 	3	2	2	Ruim
08/11/2020	34.3	34.4	C	2.48	1.97	123	1.0 	14.6 	5.2 	0.0 	0.0 	14.6 	0.0 	0.0 	0.0 	0.0 	5	2	2	Ruim
08/11/2020	34.4	34.5	C	2.48	1.47	117	1.0 	9.4 	10.4 	0.0 	3.1 	6.3 	0.0 	0.0 	0.0 	0.0 	5	2	2	Ruim
08/11/2020	34.5	34.6	C	1.66	5.12	27	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
08/11/2020	34.6	34.7	C	1.77	4.89	29	0.0 	0.0 	8.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
08/11/2020	34.7	34.8	C	2.13	5.31	22	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.1 	5	4	4	Bom
08/11/2020	34.8	34.9	C	1.35	7.36	10	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
08/11/2020	34.9	35	C	1.41	7.63	35	0.0 	3.1 	0.0 	0.0 	3.1 	0.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
08/11/2020	35	35.1	C	1.97	4.99	37	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.2 	5	4	4	Bom
08/11/2020	35.1	35.2	C	2.42	4.44	51	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.2 	5	3	3	Regular
08/11/2020	35.2	35.3	C	2.19	5.15	52	0.0 	4.2 	0.0 	0.0 	3.1 	1.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
08/11/2020	35.3	35.4	C	1.37	6.47	34	0.0 	6.3 	0.0 	0.0 	6.3 	0.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
08/11/2020	35.4	35.5	C	1.30	5.00	7	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
