Data Levantamento	Km inicial	Km final	Sentido	IRI (m/Km)	Flecha (mm)	IGG	Qtd. de Panelas	Trincamento (%)	Desgaste (%)	FC1 (%)	FC2 (%)	FC3 (%)	Afundamento (%)	Escorregamento (%)	Exsudacao (%)	Remendo (%)	ICS IRI	ICS IGG	ICS	Situação
13/04/2018	37.52	37.62	C	2.33	3.30	54	0.0 	61.0 	0.0 	0.0 	61.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
13/04/2018	37.62	37.72	C	1.73	4.24	46	0.0 	29.0 	0.0 	0.0 	29.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
13/04/2018	37.72	37.82	C	1.95	3.83	79	0.0 	50.0 	39.0 	0.0 	50.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
13/04/2018	37.82	37.92	C	2.17	5.76	78	0.0 	39.4 	61.6 	0.0 	39.4 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
13/04/2018	37.92	38.02	C	1.90	5.25	87	0.0 	54.5 	61.6 	0.0 	54.5 	0.0 	0.0 	0.0 	0.0 	0.0 	5	2	2	Ruim
13/04/2018	38.02	38.12	C	1.82	4.60	12	0.0 	0.0 	4.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
13/04/2018	38.12	38.22	C	1.85	3.94	41	0.0 	34.0 	1.0 	0.0 	34.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
13/04/2018	38.22	38.32	C	1.53	4.74	38	0.0 	20.2 	7.1 	0.0 	19.2 	1.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
13/04/2018	38.32	38.42	C	1.78	5.92	56	0.0 	22.0 	0.0 	0.0 	0.0 	22.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
13/04/2018	38.42	38.52	C	1.65	4.44	42	2.0 	2.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
13/04/2018	38.52	38.62	C	1.27	5.68	19	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.0 	5	5	5	Bom
13/04/2018	38.62	38.72	C	1.19	4.74	6	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
13/04/2018	38.72	38.82	C	1.42	6.00	54	2.0 	16.0 	1.0 	0.0 	16.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
