Data Levantamento	Km inicial	Km final	Sentido	IRI (m/Km)	Flecha (mm)	IGG	Qtd. de Panelas	Trincamento (%)	Desgaste (%)	FC1 (%)	FC2 (%)	FC3 (%)	Afundamento (%)	Escorregamento (%)	Exsudacao (%)	Remendo (%)	ICS IRI	ICS IGG	ICS	Situação
15/08/2017	34	34.1	C	3.93	5.19	73	0.0 	11.0 	2.0 	0.0 	11.0 	0.0 	0.0 	0.0 	0.0 	2.0 	3	3	3	Regular
15/08/2017	34.1	34.2	C	3.24	4.27	50	0.0 	18.0 	0.0 	0.0 	18.0 	0.0 	0.0 	0.0 	0.0 	35.0 	3	3	3	Regular
15/08/2017	34.2	34.3	C	2.88	6.05	46	0.0 	3.0 	0.0 	0.0 	2.0 	1.0 	0.0 	0.0 	0.0 	1.0 	4	3	3	Regular
15/08/2017	34.3	34.4	C	2.21	4.64	26	0.0 	5.0 	0.0 	0.0 	5.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
15/08/2017	34.4	34.5	C	2.40	4.39	6	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
15/08/2017	34.5	34.6	C	1.63	4.23	16	0.0 	2.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
15/08/2017	34.6	34.7	C	1.80	3.36	14	0.0 	2.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
15/08/2017	34.7	34.8	C	1.73	4.07	21	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
15/08/2017	34.8	34.9	C	1.32	7.27	10	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
15/08/2017	34.9	35	C	1.38	6.26	18	0.0 	1.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
15/08/2017	35	35.1	C	1.76	4.22	25	0.0 	6.1 	0.0 	0.0 	6.1 	0.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
15/08/2017	35.1	35.2	C	1.96	3.56	47	0.0 	5.1 	0.0 	0.0 	1.0 	4.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
15/08/2017	35.2	35.3	C	2.02	3.80	15	0.0 	1.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
15/08/2017	35.3	35.4	C	1.39	4.85	6	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
15/08/2017	35.4	35.5	C	1.39	3.81	5	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
