Data Levantamento	Km inicial	Km final	Sentido	IRI (m/Km)	Flecha (mm)	IGG	Qtd. de Panelas	Trincamento (%)	Desgaste (%)	FC1 (%)	FC2 (%)	FC3 (%)	Afundamento (%)	Escorregamento (%)	Exsudacao (%)	Remendo (%)	ICS IRI	ICS IGG	ICS	Situação
31/08/2022	34	34.1	C	5.69	5.21	119	0.0 	8.0 	0.0 	0.0 	0.0 	8.0 	0.0 	7.0 	0.0 	4.0 	1	2	1	Ruim
31/08/2022	34.1	34.2	C	4.87	4.36	86	0.0 	3.0 	0.0 	0.0 	0.0 	3.0 	0.0 	0.0 	0.0 	14.0 	2	2	2	Ruim
31/08/2022	34.2	34.3	C	4.08	3.98	61	0.0 	8.0 	0.0 	0.0 	0.0 	8.0 	0.0 	0.0 	0.0 	8.0 	2	3	2	Ruim
31/08/2022	34.3	34.4	C	2.51	3.85	97	0.0 	4.0 	0.0 	0.0 	0.0 	4.0 	0.0 	0.0 	0.0 	21.0 	4	2	2	Ruim
31/08/2022	34.4	34.5	C	2.21	3.68	71	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	16.0 	5	3	3	Regular
31/08/2022	34.5	34.6	C	2.47	4.10	53	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	16.0 	5	3	3	Regular
31/08/2022	34.6	34.7	C	1.93	4.84	36	0.0 	6.0 	0.0 	0.0 	6.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
31/08/2022	34.7	34.8	C	2.26	4.29	16	0.0 	2.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
31/08/2022	34.8	34.9	C	1.29	5.39	7	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
31/08/2022	34.9	35	C	1.18	6.53	29	0.0 	2.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
31/08/2022	35	35.1	C	1.41	7.18	19	0.0 	4.0 	0.0 	0.0 	4.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
31/08/2022	35.1	35.2	C	2.57	3.33	4	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4	5	4	Bom
31/08/2022	35.2	35.3	C	2.32	4.42	28	0.0 	4.0 	0.0 	0.0 	4.0 	0.0 	0.0 	0.0 	0.0 	1.0 	5	4	4	Bom
31/08/2022	35.3	35.4	C	1.70	4.75	6	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
31/08/2022	35.4	35.5	C	1.23	4.71	6	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
31/08/2022	35.5	35.6	C	2.40	3.84	15	0.0 	1.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
31/08/2022	35.6	35.7	C	5.45	4.73	60	0.0 	7.0 	2.0 	0.0 	7.0 	0.0 	0.0 	0.0 	0.0 	2.0 	2	3	2	Ruim
31/08/2022	35.7	35.8	C	2.57	2.82	50	0.0 	2.0 	5.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	3.0 	4	3	3	Regular
31/08/2022	35.8	35.9	C	3.58	3.43	74	0.0 	6.0 	5.0 	0.0 	4.0 	2.0 	0.0 	0.0 	0.0 	0.0 	3	3	3	Regular
31/08/2022	35.9	36	C	1.90	2.35	41	0.0 	2.0 	4.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
31/08/2022	36	36.1	C	3.00	5.09	33	0.0 	3.0 	1.0 	0.0 	3.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4	4	4	Bom
31/08/2022	36.1	36.2	C	2.60	4.12	69	0.0 	10.0 	2.0 	0.0 	10.0 	0.0 	0.0 	0.0 	0.0 	1.0 	4	3	3	Regular
31/08/2022	36.2	36.3	C	3.62	6.49	77	0.0 	2.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	8.0 	3	3	3	Regular
31/08/2022	36.3	36.4	C	5.14	4.47	66	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	16.0 	2	3	2	Ruim
31/08/2022	36.4	36.5	C	5.38	4.91	67	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	77.0 	2	3	2	Ruim
31/08/2022	36.5	36.6	C	5.22	5.37	67	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	75.0 	2	3	2	Ruim
31/08/2022	36.6	36.7	C	3.38	4.23	76	0.0 	2.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	44.0 	3	3	3	Regular
31/08/2022	36.7	36.8	C	5.56	6.13	76	0.0 	4.0 	0.0 	0.0 	4.0 	0.0 	0.0 	0.0 	0.0 	75.0 	1	3	1	Ruim
31/08/2022	36.8	36.9	C	4.46	5.29	41	0.0 	2.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	39.0 	2	3	2	Ruim
31/08/2022	36.9	37	C	5.17	4.40	64	0.0 	1.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	17.0 	2	3	2	Ruim
31/08/2022	37	37.1	C	2.79	5.49	19	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	4	5	4	Bom
31/08/2022	37.1	37.2	C	2.42	5.23	43	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.0 	5	3	3	Regular
31/08/2022	37.2	37.3	C	4.58	5.73	44	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.0 	2	3	2	Ruim
31/08/2022	37.3	37.4	C	3.33	5.27	67	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	18.0 	3	3	3	Regular
31/08/2022	37.4	37.5	C	2.77	4.58	42	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	6.0 	4	3	3	Regular
31/08/2022	37.5	37.6	C	5.83	5.03	55	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	11.0 	1	3	1	Ruim
31/08/2022	37.6	37.7	C	3.52	3.38	29	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.0 	3	4	3	Regular
31/08/2022	37.7	37.8	C	2.39	3.59	53	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	15.0 	5	3	3	Regular
31/08/2022	37.8	37.9	C	4.95	3.05	64	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	24.0 	2	3	2	Ruim
31/08/2022	37.9	38	C	5.17	4.08	65	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	34.0 	2	3	2	Ruim
31/08/2022	38	38.1	C	4.87	3.07	52	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	37.0 	2	3	2	Ruim
31/08/2022	38.1	38.2	C	2.61	2.14	63	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	32.0 	4	3	3	Regular
31/08/2022	38.2	38.3	C	2.93	4.14	65	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	37.0 	4	3	3	Regular
31/08/2022	38.3	38.4	C	4.64	5.89	20	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	7.0 	2	5	2	Ruim
31/08/2022	38.4	38.5	C	4.63	4.14	66	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	90.0 	2	3	2	Ruim
31/08/2022	38.5	38.6	C	3.57	4.18	66	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	91.0 	3	3	3	Regular
31/08/2022	38.6	38.7	C	4.34	4.21	66	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100.0 	2	3	2	Ruim
31/08/2022	38.7	38.8	C	4.52	4.65	66	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100.0 	2	3	2	Ruim
31/08/2022	38.8	38.9	C	3.75	4.00	65	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	86.0 	3	3	3	Regular
31/08/2022	38.9	39	C	4.30	4.31	66	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	86.0 	2	3	2	Ruim
31/08/2022	39	39.1	C	4.89	4.37	66	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	95.0 	2	3	2	Ruim
31/08/2022	39.1	39.2	C	6.09	5.92	44	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	37.0 	1	3	1	Ruim
31/08/2022	39.2	39.3	C	5.61	3.51	85	0.0 	3.0 	0.0 	0.0 	3.0 	0.0 	0.0 	0.0 	0.0 	92.0 	1	2	1	Ruim
31/08/2022	39.3	39.4	C	4.35	3.45	65	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	77.0 	2	3	2	Ruim
31/08/2022	39.4	39.5	C	5.77	3.58	65	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	66.0 	1	3	1	Ruim
31/08/2022	39.5	39.6	C	2.20	6.71	85	0.0 	13.0 	0.0 	0.0 	1.0 	12.0 	0.0 	0.0 	0.0 	2.0 	5	2	2	Ruim
31/08/2022	39.6	39.7	C	5.05	6.81	97	0.0 	9.0 	0.0 	0.0 	9.0 	0.0 	0.0 	0.0 	0.0 	12.0 	2	2	2	Ruim
31/08/2022	39.7	39.8	C	3.19	6.91	137	0.0 	18.0 	0.0 	0.0 	0.0 	18.0 	0.0 	0.0 	0.0 	12.0 	3	2	2	Ruim
